task_id	model_id	split	field	slice_key	slice_value	n_items	n_true	n_pred	precision	recall	f1	tp	fp	fn
field_extraction_value	field_value_relaxed_heading_v0	dev	功用	noise_flags	(none)	13152	2075	2075	1.0000	1.0000	1.0000	2075	0	0
field_extraction_value	field_value_relaxed_heading_v0	dev	用法	noise_flags	(none)	13152	12178	12178	1.0000	1.0000	1.0000	12178	0	0
field_extraction_value	field_value_relaxed_heading_v0	dev	组成	noise_flags	(none)	13152	12934	12934	1.0000	1.0000	1.0000	12934	0	0
field_extraction_value	field_value_strict_heading_v0	dev	主治	noise_flags	(none)	13152	12009	11382	1.0000	0.9468	0.9727	11370	0	639
field_extraction_value	field_value_strict_heading_v0	dev	功用	noise_flags	(none)	13152	2075	1986	1.0000	0.9561	0.9776	1984	0	91
field_extraction_value	field_value_strict_heading_v0	dev	用法	noise_flags	(none)	13152	12178	11118	1.0000	0.9070	0.9513	11046	0	1132
field_extraction_value	field_value_strict_heading_v0	dev	组成	noise_flags	(none)	13152	12934	12404	1.0000	0.9093	0.9525	11761	0	1173
field_extraction_value	field_value_relaxed_heading_v0	test	主治	noise_flags	(none)	11608	10913	10913	1.0000	1.0000	1.0000	10913	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	功用	noise_flags	(none)	11608	1918	1918	1.0000	1.0000	1.0000	1918	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	用法	noise_flags	(none)	11608	10553	10553	1.0000	1.0000	1.0000	10553	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	组成	noise_flags	(none)	11608	11471	11471	1.0000	1.0000	1.0000	11471	0	0
field_extraction_value	field_value_strict_heading_v0	test	主治	noise_flags	(none)	11608	10913	10069	1.0000	0.9223	0.9596	10065	0	848
field_extraction_value	field_value_strict_heading_v0	test	功用	noise_flags	(none)	11608	1918	1775	1.0000	0.9244	0.9607	1773	0	145
field_extraction_value	field_value_strict_heading_v0	test	用法	noise_flags	(none)	11608	10553	9378	1.0000	0.8844	0.9387	9333	0	1220
field_extraction_value	field_value_strict_heading_v0	test	组成	noise_flags	(none)	11608	11471	10682	1.0000	0.8895	0.9415	10204	0	1267
field_extraction_value	field_value_relaxed_heading_v0	dev	主治	noise_flags	markdown_field_heading	5694	5320	5320	1.0000	1.0000	1.0000	5320	0	0
field_extraction_value	field_value_relaxed_heading_v0	dev	功用	noise_flags	markdown_field_heading	5694	1647	1647	1.0000	1.0000	1.0000	1647	0	0
field_extraction_value	field_value_relaxed_heading_v0	dev	用法	noise_flags	markdown_field_heading	5694	5378	5378	1.0000	1.0000	1.0000	5378	0	0
field_extraction_value	field_value_relaxed_heading_v0	dev	组成	noise_flags	markdown_field_heading	5694	5623	5623	1.0000	1.0000	1.0000	5623	0	0
field_extraction_value	field_value_strict_heading_v0	dev	主治	noise_flags	markdown_field_heading	5694	5320	2607	1.0000	0.4329	0.6042	2303	0	3017
field_extraction_value	field_value_strict_heading_v0	dev	功用	noise_flags	markdown_field_heading	5694	1647	326	1.0000	0.1621	0.2790	267	0	1380
field_extraction_value	field_value_strict_heading_v0	dev	用法	noise_flags	markdown_field_heading	5694	5378	4590	1.0000	0.1850	0.3123	995	0	4383
field_extraction_value	field_value_strict_heading_v0	dev	组成	noise_flags	markdown_field_heading	5694	5623	4878	1.0000	0.6794	0.8091	3820	0	1803
field_extraction_value	field_value_relaxed_heading_v0	test	主治	noise_flags	markdown_field_heading	2947	2740	2740	1.0000	1.0000	1.0000	2740	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	功用	noise_flags	markdown_field_heading	2947	990	990	1.0000	1.0000	1.0000	990	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	用法	noise_flags	markdown_field_heading	2947	2759	2759	1.0000	1.0000	1.0000	2759	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	组成	noise_flags	markdown_field_heading	2947	2911	2911	1.0000	1.0000	1.0000	2911	0	0
field_extraction_value	field_value_strict_heading_v0	test	主治	noise_flags	markdown_field_heading	2947	2740	1386	1.0000	0.4427	0.6137	1213	0	1527
field_extraction_value	field_value_strict_heading_v0	test	功用	noise_flags	markdown_field_heading	2947	990	185	1.0000	0.1404	0.2462	139	0	851
field_extraction_value	field_value_strict_heading_v0	test	用法	noise_flags	markdown_field_heading	2947	2759	2396	1.0000	0.1816	0.3074	501	0	2258
field_extraction_value	field_value_strict_heading_v0	test	组成	noise_flags	markdown_field_heading	2947	2911	2549	1.0000	0.6970	0.8215	2029	0	882
field_extraction_value	field_value_relaxed_heading_v0	train	主治	noise_flags	image_contamination	8	8	8	1.0000	1.0000	1.0000	8	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	功用	noise_flags	image_contamination	8	3	3	1.0000	1.0000	1.0000	3	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	用法	noise_flags	image_contamination	8	7	7	1.0000	1.0000	1.0000	7	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	组成	noise_flags	image_contamination	8	8	8	1.0000	1.0000	1.0000	8	0	0
field_extraction_value	field_value_strict_heading_v0	train	主治	noise_flags	image_contamination	8	8	7	1.0000	0.8750	0.9333	7	0	1
field_extraction_value	field_value_strict_heading_v0	train	功用	noise_flags	image_contamination	8	3	3	1.0000	1.0000	1.0000	3	0	0
field_extraction_value	field_value_strict_heading_v0	train	用法	noise_flags	image_contamination	8	7	6	1.0000	0.8571	0.9231	6	0	1
field_extraction_value	field_value_strict_heading_v0	train	组成	noise_flags	image_contamination	8	8	8	1.0000	0.8750	0.9333	7	0	1
field_extraction_value	field_value_relaxed_heading_v0	test	主治	noise_flags	image_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	功用	noise_flags	image_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	用法	noise_flags	image_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_relaxed_heading_v0	test	组成	noise_flags	image_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	主治	noise_flags	html_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	功用	noise_flags	html_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	用法	noise_flags	html_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	组成	noise_flags	html_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_strict_heading_v0	test	主治	noise_flags	image_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_strict_heading_v0	test	功用	noise_flags	image_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_strict_heading_v0	test	用法	noise_flags	image_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_strict_heading_v0	test	组成	noise_flags	image_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
field_extraction_value	field_value_strict_heading_v0	train	主治	noise_flags	html_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_strict_heading_v0	train	功用	noise_flags	html_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_strict_heading_v0	train	用法	noise_flags	html_contamination	1	0	0	0.0000	0.0000	0.0000	0	0	0
field_extraction_value	field_value_strict_heading_v0	train	组成	noise_flags	html_contamination	1	1	1	1.0000	1.0000	1.0000	1	0	0
