source_file	parsed_records	full_records	noisy_records	redirect_records	mixed_records	html_blocks	image_links	coarse_doc_signal	eligibility_status	needs_segment_review	notes
第7册3.md	2770	1626	777	353	14	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第7册4.md	2621	1577	793	240	11	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第7册5.md	2709	1574	752	368	15	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第7册6.md	63	37	23	2	1	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第8册1.md	1384	767	442	169	6	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第8册2.md	2481	1444	757	268	12	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第8册3.md	2681	1684	734	246	17	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第8册4.md	2664	1645	703	297	19	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第8册5.md	2575	1716	566	265	28	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第8册6.md	64	41	16	7	0	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第9册.md	776	0	0	0	776	180	1	mixed_frontmatter_toc_noise	mixed_pending	yes	bootstrap_file_level_registry_with_parse_counts
